product_id,category,created_at,description,image_url,is_active,name,price,sku,stock_quantity,store_location,updated_at
11,Electronics,2026-01-10 11:25:00,"Snapdragon 8 Gen 2 Mobile Platform with 100W SUPERVOOC.",https://images.pexels.com/photos/1092671/pexels-photo-1092671.jpeg?auto=compress&cs=tinysrgb&w=600,1,"OnePlus 12R (16GB RAM)",45999,PROD-011,35,T.Nagar,2026-01-26 14:15:00
12,Electronics,2026-01-10 12:45:00,"6.8 inch display and adjustable warm light.",https://images.pexels.com/photos/4005033/pexels-photo-4005033.jpeg?auto=compress&cs=tinysrgb&w=600,1,"Kindle Paperwhite (16 GB)",14999,PROD-012,50,Adyar,2026-01-28 09:30:00
13,Electronics,2026-01-11 10:00:00,"Compact mirrorless camera with RF-S18-45mm is STM Lens.",https://images.pexels.com/photos/51383/photo-camera-subject-photographer-51383.jpeg?auto=compress&cs=tinysrgb&w=600,1,"Canon EOS R50 Mirrorless Camera",65990,PROD-013,12,Velachery,2026-01-29 17:00:00
14,Electronics,2026-01-11 14:50:00,"Portable Bluetooth speaker with 2-way speaker system.",https://images.pexels.com/photos/1706694/pexels-photo-1706694.jpeg?auto=compress&cs=tinysrgb&w=600,1,"JBL Flip 6 Wireless Speaker",9999,PROD-014,65,Navalur,2026-01-31 13:45:00
15,Electronics,2026-01-12 09:20:00,"GPS running smartwatch with music and advanced training metrics.",https://images.pexels.com/photos/267394/pexels-photo-267394.jpeg?auto=compress&cs=tinysrgb&w=600,1,"Garmin Forerunner 255 Music",32990,PROD-015,20,Anna Nagar,2026-01-27 11:10:00
16,Electronics,2026-01-12 16:00:00,"LDS Laser Navigation with 3000Pa suction power.",https://images.pexels.com/photos/4887163/pexels-photo-4887163.jpeg?auto=compress&cs=tinysrgb&w=600,1,"Mi Xiaomi Robot Vacuum-Mop 2 Pro",25999,PROD-016,18,T.Nagar,2026-01-30 15:30:00
17,Electronics,2026-01-13 10:15:00,"USB 3.0 external hard drive for PC and Mac.",https://images.pexels.com/photos/117729/pexels-photo-117729.jpeg?auto=compress&cs=tinysrgb&w=600,1,"Seagate Portable 2TB External HDD",5999,PROD-017,85,Adyar,2026-01-31 10:45:00
18,Electronics,2026-01-13 12:30:00,"Dual band Gigabit wireless router for high speed internet.",https://images.pexels.com/photos/4218546/pexels-photo-4218546.jpeg?auto=compress&cs=tinysrgb&w=600,1,"TP-Link Archer AX55 Wi-Fi 6 Router",8499,PROD-018,42,Velachery,2026-02-01 09:00:00
19,Electronics,2026-01-14 09:00:00,"Smarter, brighter, and mightier. Advanced health sensors.",https://images.pexels.com/photos/437037/pexels-photo-437037.jpeg?auto=compress&cs=tinysrgb&w=600,1,"Apple Watch Series 9 GPS",41900,PROD-019,28,Navalur,2026-01-29 16:20:00
20,Electronics,2026-01-14 11:45:00,"Unique Glyph Interface with 50 MP dual rear camera.",https://images.pexels.com/photos/607812/pexels-photo-607812.jpeg?auto=compress&cs=tinysrgb&w=600,1,"Nothing Phone (2a) 5G",23999,PROD-020,55,Anna Nagar,2026-01-28 14:30:00
21,Fashion,2026-01-15 10:00:00,"Classic slim fit jeans made from stretchable denim.",https://images.pexels.com/photos/1082529/pexels-photo-1082529.jpeg?auto=compress&cs=tinysrgb&w=600,1,"Levis Men's 511 Slim Fit Jeans",2499,PROD-021,80,T.Nagar,2026-01-30 11:00:00
22,Fashion,2026-01-15 13:20:00,"Pure cotton formal shirt tailored for a regular fit.",https://images.pexels.com/photos/297933/pexels-photo-297933.jpeg?auto=compress&cs=tinysrgb&w=600,1,"Raymond Men's Formal Shirt",1299,PROD-022,100,Adyar,2026-01-29 10:15:00
23,Fashion,2026-01-16 09:30:00,"Responsive cushioning for everyday road running.",https://images.pexels.com/photos/19090/pexels-photo.jpg?auto=compress&cs=tinysrgb&w=600,1,"Nike Air Pegasus 40 Running Shoes",11895,PROD-023,30,Velachery,2026-01-31 12:00:00
24,Fashion,2026-01-16 15:10:00,"Casual round neck t-shirt with logo print.",https://images.pexels.com/photos/428340/pexels-photo-428340.jpeg?auto=compress&cs=tinysrgb&w=600,1,"Puma Men's T-Shirt",899,PROD-024,120,Navalur,2026-01-27 16:40:00
25,Fashion,2026-01-17 11:00:00,"Shock resistant water resistant sports watch.",https://images.pexels.com/photos/277390/pexels-photo-277390.jpeg?auto=compress&cs=tinysrgb&w=600,1,"Casio G-Shock Analog-Digital Watch",8995,PROD-025,45,Anna Nagar,2026-01-30 09:00:00
26,Fashion,2026-01-17 14:00:00,"Classic gold frame aviator sunglasses with green lenses.",https://images.pexels.com/photos/701877/pexels-photo-701877.jpeg?auto=compress&cs=tinysrgb&w=600,1,"Ray-Ban Aviator Sunglasses",7590,PROD-026,35,T.Nagar,2026-01-28 13:00:00
27,Fashion,2026-01-18 10:45:00,"Lightweight running shoes with energy return boost midsole.",https://images.pexels.com/photos/1240892/pexels-photo-1240892.jpeg?auto=compress&cs=tinysrgb&w=600,1,"Adidas Men's Ultraboost Light",13999,PROD-027,25,Velachery,2026-01-29 15:00:00
28,Fashion,2026-01-18 12:30:00,"Printed straight kurta suitable for casual wear.",https://images.pexels.com/photos/7945660/pexels-photo-7945660.jpeg?auto=compress&cs=tinysrgb&w=600,1,"Biba Women's Cotton Kurta",1899,PROD-028,60,Adyar,2026-01-31 11:20:00
29,Fashion,2026-01-19 09:15:00,"Elegant jewelry watch with rose gold strap.",https://images.pexels.com/photos/364822/pexels-photo-364822.jpeg?auto=compress&cs=tinysrgb&w=600,1,"Titan Raga Women's Watch",4995,PROD-029,40,Navalur,2026-02-01 10:00:00
30,Fashion,2026-01-19 16:20:00,"Genuine leather bi-fold wallet with multiple card slots.",https://images.pexels.com/photos/167822/pexels-photo-167822.jpeg?auto=compress&cs=tinysrgb&w=600,1,"Woodland Men's Leather Wallet",1495,PROD-030,90,Anna Nagar,2026-01-26 14:00:00
31,Fashion,2026-01-20 11:00:00,"Spacious laptop backpack with rain cover included.",https://images.pexels.com/photos/3731256/pexels-photo-3731256.jpeg?auto=compress&cs=tinysrgb&w=600,1,"Wildcraft 45L Laptop Backpack",2299,PROD-031,75,T.Nagar,2026-01-28 09:45:00
32,Fashion,2026-01-20 13:40:00,"Slim fit cotton chinos available in beige.",https://images.pexels.com/photos/52518/jeans-pants-blue-shop-52518.jpeg?auto=compress&cs=tinysrgb&w=600,1,"Allen Solly Men's Chinos",1799,PROD-032,70,Velachery,2026-01-30 16:10:00
33,Fashion,2026-01-21 10:30:00,"Slip-on walking shoes with high rebound cushioning.",https://images.pexels.com/photos/2529148/pexels-photo-2529148.jpeg?auto=compress&cs=tinysrgb&w=600,1,"Skechers Men's Go Walk Shoes",4499,PROD-033,50,Adyar,2026-01-29 11:30:00
34,Fashion,2026-01-21 15:00:00,"Solid formal blazer single breasted.",https://images.pexels.com/photos/1043474/pexels-photo-1043474.jpeg?auto=compress&cs=tinysrgb&w=600,1,"Van Heusen Men's Blazer",4999,PROD-034,35,Navalur,2026-01-31 14:20:00
35,Fashion,2026-01-22 09:45:00,"Super combed cotton briefs with elastic waistband.",https://images.pexels.com/photos/3905874/pexels-photo-3905874.jpeg?auto=compress&cs=tinysrgb&w=600,1,"Jockey Men's Cotton Briefs (Pack of 3)",599,PROD-035,150,Anna Nagar,2026-01-27 10:50:00
36,Fashion,2026-01-22 14:15:00,"Comfortable classic clogs for daily wear.",https://images.pexels.com/photos/1032110/pexels-photo-1032110.jpeg?auto=compress&cs=tinysrgb&w=600,1,"Crocs Unisex Clog Sandals",2995,PROD-036,65,T.Nagar,2026-01-30 12:40:00
37,Fashion,2026-01-23 11:30:00,"Square sunglasses with UV protection.",https://images.pexels.com/photos/46710/pexels-photo-46710.jpeg?auto=compress&cs=tinysrgb&w=600,1,"Fastrack Men's Sunglasses",1299,PROD-037,85,Velachery,2026-01-28 15:55:00
38,Fashion,2026-01-23 16:00:00,"Soft cotton blend hoodie with kangaroo pocket.",https://images.pexels.com/photos/1183266/pexels-photo-1183266.jpeg?auto=compress&cs=tinysrgb&w=600,1,"H&M Women's Hooded Sweatshirt",1499,PROD-038,55,Adyar,2026-01-31 09:25:00
39,Fashion,2026-01-24 10:10:00,"Lace-up leather formal shoes in tan color.",https://images.pexels.com/photos/298863/pexels-photo-298863.jpeg?auto=compress&cs=tinysrgb&w=600,1,"Red Tape Men's Leather Formal Shoes",2199,PROD-039,48,Navalur,2026-01-29 13:00:00
40,Fashion,2026-01-24 12:50:00,"Touchscreen smartwatch with Alexa built-in.",https://images.pexels.com/photos/440320/pexels-photo-440320.jpeg?auto=compress&cs=tinysrgb&w=600,1,"Fossil Gen 6 Smartwatch",18995,PROD-040,22,Anna Nagar,2026-01-26 11:45:00
41,"Home & Kitchen",2026-01-25 09:25:00,"Stainless steel pressure cooker with induction base.",https://images.pexels.com/photos/3756623/pexels-photo-3756623.jpeg?auto=compress&cs=tinysrgb&w=600,1,"Prestige 5L Pressure Cooker",2450,PROD-041,45,T.Nagar,2026-01-28 10:30:00
42,"Home & Kitchen",2026-01-25 13:40:00,"Rapid Air Technology for healthy frying with little oil.",https://images.pexels.com/photos/3298637/pexels-photo-3298637.jpeg?auto=compress&cs=tinysrgb&w=600,1,"Philips Air Fryer HD9200",6999,PROD-042,35,Velachery,2026-01-30 14:15:00
43,"Home & Kitchen",2026-01-26 10:50:00,"Vacuum insulated bottle keeps water hot or cold for 24 hours.",https://images.pexels.com/photos/1346155/pexels-photo-1346155.jpeg?auto=compress&cs=tinysrgb&w=600,1,"Milton Thermosteel Water Bottle (1L)",980,PROD-043,110,Adyar,2026-01-29 16:40:00
44,"Home & Kitchen",2026-01-26 15:15:00,"100% Cotton double bedsheet with 2 pillow covers.",https://images.pexels.com/photos/1743231/pexels-photo-1743231.jpeg?auto=compress&cs=tinysrgb&w=600,1,"Bombay Dyeing Cotton Double Bedsheet",1299,PROD-044,65,Navalur,2026-01-31 11:50:00
45,"Home & Kitchen",2026-01-27 11:20:00,"Mixer grinder with 3 stainless steel jars.",https://images.pexels.com/photos/4021944/pexels-photo-4021944.jpeg?auto=compress&cs=tinysrgb&w=600,1,"Bajaj Rex 500W Mixer Grinder",2199,PROD-045,50,Anna Nagar,2026-01-30 09:55:00
46,"Home & Kitchen",2026-01-27 14:35:00,"Non-stick granite wok with glass lid.",https://images.pexels.com/photos/2067423/pexels-photo-2067423.jpeg?auto=compress&cs=tinysrgb&w=600,1,"Wonderchef Granite Wok 26cm",1899,PROD-046,40,T.Nagar,2026-02-01 13:20:00
47,"Home & Kitchen",2026-01-28 09:55:00,"Queen size mattress for back pain relief.",https://images.pexels.com/photos/6585623/pexels-photo-6585623.jpeg?auto=compress&cs=tinysrgb&w=600,1,"Wakefit Orthopedic Memory Foam Mattress",12999,PROD-047,15,Velachery,2026-01-31 15:35:00
48,"Home & Kitchen",2026-01-28 12:45:00,"RO + UV + UF + TDS Control water purification system.",https://images.pexels.com/photos/1231713/pexels-photo-1231713.jpeg?auto=compress&cs=tinysrgb&w=600,1,"Kent Grand+ RO Water Purifier",15499,PROD-048,20,Adyar,2026-01-30 10:40:00
49,"Home & Kitchen",2026-01-29 10:10:00,"Manual vegetable chopper with 3 blades.",https://images.pexels.com/photos/1269300/pexels-photo-1269300.jpeg?auto=compress&cs=tinysrgb&w=600,1,"Pigeon Handy Chopper",399,PROD-049,140,Navalur,2026-02-01 12:15:00
50,"Home & Kitchen",2026-01-29 15:25:00,"High speed energy saving ceiling fan.",https://images.pexels.com/photos/3626593/pexels-photo-3626593.jpeg?auto=compress&cs=tinysrgb&w=600,1,"Havells 1200mm Ceiling Fan",2499,PROD-050,55,Anna Nagar,2026-01-31 14:50:00
51,"Home & Kitchen",2026-01-30 11:40:00,"Ergonomic high back office chair with armrests.",https://images.pexels.com/photos/1957478/pexels-photo-1957478.jpeg?auto=compress&cs=tinysrgb&w=600,1,"Godrej Interio Office Chair",8999,PROD-051,25,T.Nagar,2026-02-01 09:30:00
52,"Home & Kitchen",2026-01-30 14:55:00,"Microfiber mop head with bucket for easy floor cleaning.",https://images.pexels.com/photos/4239103/pexels-photo-4239103.jpeg?auto=compress&cs=tinysrgb&w=600,1,"Scotch-Brite Spin Mop",1499,PROD-052,60,Velachery,2026-02-01 16:00:00
53,"Home & Kitchen",2026-01-31 09:30:00,"Ergonomic dustpan set for home cleaning.",https://images.pexels.com/photos/4108715/pexels-photo-4108715.jpeg?auto=compress&cs=tinysrgb&w=600,1,"Spotzero Dustpan and Brush",299,PROD-053,100,Adyar,2026-01-31 10:10:00
54,"Home & Kitchen",2026-01-31 13:00:00,"Microwave safe glass lunch boxes with bag.",https://images.pexels.com/photos/1640777/pexels-photo-1640777.jpeg?auto=compress&cs=tinysrgb&w=600,1,"Borosil Glass Lunch Box Set",895,PROD-054,75,Navalur,2026-02-01 11:25:00
55,"Home & Kitchen",2026-01-05 10:50:00,"Powerful suction for versatile cleaning.",https://images.pexels.com/photos/4107297/pexels-photo-4107297.jpeg?auto=compress&cs=tinysrgb&w=600,1,"Dyson V8 Absolute Cord-Free Vacuum",32900,PROD-055,10,Anna Nagar,2026-01-25 15:45:00
56,Sports,2026-01-05 14:20:00,"Graphite shaft racket for intermediate players.",https://images.pexels.com/photos/2202685/pexels-photo-2202685.jpeg?auto=compress&cs=tinysrgb&w=600,1,"Yonex Muscle Power Badminton Racket",1899,PROD-056,45,T.Nagar,2026-01-26 12:30:00
57,Sports,2026-01-06 11:15:00,"Grade 1 Kashmir willow cricket bat with cover.",https://images.pexels.com/photos/3657156/pexels-photo-3657156.jpeg?auto=compress&cs=tinysrgb&w=600,1,"SS Cricket Bat Kashmir Willow",2499,PROD-057,35,Velachery,2026-01-28 14:10:00
58,Sports,2026-01-06 16:35:00,"Size 5 football suitable for hard ground.",https://images.pexels.com/photos/39562/ball-football-sport-game-39562.jpeg?auto=compress&cs=tinysrgb&w=600,1,"Nivia Shining Star Football",699,PROD-058,80,Adyar,2026-01-30 13:50:00
59,Sports,2026-01-07 10:05:00,"Anti-slip yoga mat for gym and home workout.",https://images.pexels.com/photos/3757942/pexels-photo-3757942.jpeg?auto=compress&cs=tinysrgb&w=600,1,"Boldfit Yoga Mat 6mm",899,PROD-059,95,Navalur,2026-01-29 15:15:00
60,Sports,2026-01-07 13:45:00,"Hexagonal rubberized dumbbells for strength training.",https://images.pexels.com/photos/4164761/pexels-photo-4164761.jpeg?auto=compress&cs=tinysrgb&w=600,1,"Decathlon 5kg Dumbbell Pair",1999,PROD-060,40,Anna Nagar,2026-01-31 10:25:00
61,Sports,2026-01-08 12:00:00,"Heavy duty tennis balls for cricket and tennis.",https://images.pexels.com/photos/209977/pexels-photo-209977.jpeg?auto=compress&cs=tinysrgb&w=600,1,"Cosco Tennis Ball (Pack of 3)",350,PROD-061,150,T.Nagar,2026-01-27 16:30:00
62,Sports,2026-01-08 15:20:00,"Hand grip strengthener with adjustable resistance.",https://images.pexels.com/photos/1552242/pexels-photo-1552242.jpeg?auto=compress&cs=tinysrgb&w=600,1,"Strauss Adjustable Hand Grip",499,PROD-062,70,Velachery,2026-01-30 09:40:00
63,Sports,2026-01-09 10:40:00,"Tangle free skipping rope for cardio.",https://images.pexels.com/photos/3763870/pexels-photo-3763870.jpeg?auto=compress&cs=tinysrgb&w=600,1,"Vector X Skipping Rope",299,PROD-063,110,Adyar,2026-01-31 12:55:00
64,Sports,2026-01-09 14:55:00,"Complete home gym set with weights and rods.",https://images.pexels.com/photos/1954524/pexels-photo-1954524.jpeg?auto=compress&cs=tinysrgb&w=600,1,"Kore 20kg Home Gym Set",3499,PROD-064,25,Navalur,2026-01-28 11:15:00
65,Sports,2026-01-10 09:10:00,"Outdoor rubber basketball size 7.",https://images.pexels.com/photos/945471/pexels-photo-945471.jpeg?auto=compress&cs=tinysrgb&w=600,1,"Spalding NBA Basketball",1299,PROD-065,50,Anna Nagar,2026-01-30 15:05:00
66,Sports,2026-01-10 13:30:00,"Anti-fog swimming goggles with UV protection.",https://images.pexels.com/photos/863988/pexels-photo-863988.jpeg?auto=compress&cs=tinysrgb&w=600,1,"Speedo Unisex Swim Goggles",999,PROD-066,60,T.Nagar,2026-01-29 10:50:00
67,Sports,2026-01-11 11:25:00,"Single speed MTB cycle with dual disc brakes.",https://images.pexels.com/photos/100582/pexels-photo-100582.jpeg?auto=compress&cs=tinysrgb&w=600,1,"Hero Sprint Pro Cycle",9999,PROD-067,15,Velachery,2026-01-31 14:00:00
68,Sports,2026-01-11 15:40:00,"Cotton padded batting gloves for cricket.",https://images.pexels.com/photos/3600039/pexels-photo-3600039.jpeg?auto=compress&cs=tinysrgb&w=600,1,"SG Batting Gloves",899,PROD-068,75,Adyar,2026-01-27 13:20:00
69,Sports,2026-01-12 10:15:00,"Foldable treadmill for home use with max speed 14km/hr.",https://images.pexels.com/photos/1954524/pexels-photo-1954524.jpeg?auto=compress&cs=tinysrgb&w=600,1,"Cockatoo Motorized Treadmill",24990,PROD-069,12,Navalur,2026-01-30 11:45:00
70,Sports,2026-01-12 14:05:00,"Feather shuttlecocks for practice and tournament.",https://images.pexels.com/photos/1432039/pexels-photo-1432039.jpeg?auto=compress&cs=tinysrgb&w=600,1,"Li-Ning Badminton Shuttlecocks (Tube of 10)",850,PROD-070,90,Anna Nagar,2026-02-01 09:15:00
71,Books,2026-01-13 11:50:00,"An easy and proven way to build good habits and break bad ones.",https://images.pexels.com/photos/415071/pexels-photo-415071.jpeg?auto=compress&cs=tinysrgb&w=600,1,"Atomic Habits by James Clear",550,PROD-071,120,T.Nagar,2026-01-28 16:10:00
72,Books,2026-01-13 15:35:00,"Timeless lessons on wealth greed and happiness.",https://images.pexels.com/photos/904620/pexels-photo-904620.jpeg?auto=compress&cs=tinysrgb&w=600,1,"The Psychology of Money by Morgan Housel",399,PROD-072,140,Velachery,2026-01-30 12:25:00
73,Books,2026-01-14 12:10:00,"Essential book for civil services examination preparation.",https://images.pexels.com/photos/46274/pexels-photo-46274.jpeg?auto=compress&cs=tinysrgb&w=600,1,"Indian Polity by M. Laxmikanth",875,PROD-073,85,Adyar,2026-01-29 14:40:00
74,Books,2026-01-14 16:45:00,"Discover the Japanese secret to a long and happy life.",https://images.pexels.com/photos/1340588/pexels-photo-1340588.jpeg?auto=compress&cs=tinysrgb&w=600,1,"Ikigai: The Japanese Secret to a Long Life",450,PROD-074,110,Navalur,2026-01-31 10:30:00
75,Books,2026-01-15 09:55:00,"What the rich teach their kids about money that the poor do not.",https://images.pexels.com/photos/159866/books-book-pages-read-literature-159866.jpeg?auto=compress&cs=tinysrgb&w=600,1,"Rich Dad Poor Dad by Robert Kiyosaki",499,PROD-075,130,Anna Nagar,2026-01-27 15:00:00
76,Books,2026-01-15 13:15:00,"The first book in the Harry Potter series by J.K. Rowling.",https://images.pexels.com/photos/159598/open-book-library-education-read-159598.jpeg?auto=compress&cs=tinysrgb&w=600,1,"Harry Potter and the Philosophers Stone",499,PROD-076,95,T.Nagar,2026-01-30 13:35:00
77,Books,2026-01-16 11:30:00,"A fable about following your dream.",https://images.pexels.com/photos/256450/pexels-photo-256450.jpeg?auto=compress&cs=tinysrgb&w=600,1,"The Alchemist by Paulo Coelho",350,PROD-077,105,Velachery,2026-02-01 11:00:00
78,Books,2026-01-16 15:45:00,"An autobiography of the former President of India.",https://images.pexels.com/photos/2041540/pexels-photo-2041540.jpeg?auto=compress&cs=tinysrgb&w=600,1,"Wings of Fire by A.P.J. Abdul Kalam",395,PROD-078,100,Adyar,2026-01-28 09:50:00
79,Books,2026-01-17 10:20:00,"A groundbreaking narrative of humanitys creation and evolution.",https://images.pexels.com/photos/2846814/pexels-photo-2846814.jpeg?auto=compress&cs=tinysrgb&w=600,1,"Sapiens: A Brief History of Humankind",599,PROD-079,70,Navalur,2026-01-31 15:20:00
80,Books,2026-01-17 14:10:00,"Delightful stories for children.",https://images.pexels.com/photos/1741230/pexels-photo-1741230.jpeg?auto=compress&cs=tinysrgb&w=600,1,"Grandma's Bag of Stories by Sudha Murty",250,PROD-080,160,Anna Nagar,2026-01-29 12:45:00
81,Books,2026-01-18 11:05:00,"The most effective vocabulary builder in the English language.",https://images.pexels.com/photos/1106468/pexels-photo-1106468.jpeg?auto=compress&cs=tinysrgb&w=600,1,"Word Power Made Easy by Norman Lewis",199,PROD-081,200,T.Nagar,2026-01-26 13:10:00
82,Books,2026-01-18 16:25:00,"The major work on human judgement and decision making.",https://images.pexels.com/photos/1926988/pexels-photo-1926988.jpeg?auto=compress&cs=tinysrgb&w=600,1,"Thinking Fast and Slow",699,PROD-082,60,Velachery,2026-01-30 10:15:00
83,Books,2026-01-19 09:40:00,"The largest selling edition of the Gita in the world.",https://images.pexels.com/photos/2228557/pexels-photo-2228557.jpeg?auto=compress&cs=tinysrgb&w=600,1,"Bhagavad Gita as It Is",350,PROD-083,180,Adyar,2026-01-29 15:55:00
84,Books,2026-01-19 13:50:00,"General knowledge yearbook for competitive exams.",https://images.pexels.com/photos/267586/pexels-photo-267586.jpeg?auto=compress&cs=tinysrgb&w=600,1,"Manorama Yearbook 2026",400,PROD-084,150,Navalur,2026-02-01 10:45:00
85,Books,2026-01-20 12:15:00,"Classic physics textbook for JEE preparation.",https://images.pexels.com/photos/590493/pexels-photo-590493.jpeg?auto=compress&cs=tinysrgb&w=600,1,"Concept of Physics by H.C. Verma Vol 1",550,PROD-085,110,Anna Nagar,2026-01-30 14:25:00
86,Toys,2026-01-20 15:30:00,"Building kit for creative play.",https://images.pexels.com/photos/168866/pexels-photo-168866.jpeg?auto=compress&cs=tinysrgb&w=600,1,"LEGO City Police Car Toy",999,PROD-086,50,T.Nagar,2026-01-28 11:35:00
87,Toys,2026-01-21 10:45:00,"The fast-dealing property trading game.",https://images.pexels.com/photos/279225/pexels-photo-279225.jpeg?auto=compress&cs=tinysrgb&w=600,1,"Monopoly Board Game Classic",1299,PROD-087,65,Velachery,2026-01-29 13:40:00
88,Toys,2026-01-21 14:20:00,"Fashion doll with trendy outfit.",https://images.pexels.com/photos/3662963/pexels-photo-3662963.jpeg?auto=compress&cs=tinysrgb&w=600,1,"Barbie Fashionista Doll",799,PROD-088,80,Adyar,2026-01-31 09:50:00
89,Toys,2026-01-22 11:35:00,"Classic card game for family fun.",https://images.pexels.com/photos/1111599/pexels-photo-1111599.jpeg?auto=compress&cs=tinysrgb&w=600,1,"Uno Playing Cards",249,PROD-089,200,Navalur,2026-01-27 12:15:00
90,Toys,2026-01-22 15:55:00,"Scale die-cast cars for racing fun.",https://images.pexels.com/photos/35967/mini-cooper-auto-model-vehicle.jpg?auto=compress&cs=tinysrgb&w=600,1,"Hot Wheels 5 Car Pack",699,PROD-090,100,Anna Nagar,2026-01-30 15:45:00
91,Toys,2026-01-23 09:25:00,"Classic block stacking game.",https://images.pexels.com/photos/3663068/pexels-photo-3663068.jpeg?auto=compress&cs=tinysrgb&w=600,1,"Funskool Jenga",649,PROD-091,90,T.Nagar,2026-01-29 11:10:00
92,Toys,2026-01-23 13:15:00,"Toy blaster with foam darts.",https://images.pexels.com/photos/1329299/pexels-photo-1329299.jpeg?auto=compress&cs=tinysrgb&w=600,1,"Nerf Alpha Strike Blaster",899,PROD-092,55,Velachery,2026-01-31 16:05:00
93,Toys,2026-01-24 10:55:00,"Educational science experiment kit for kids.",https://images.pexels.com/photos/256381/pexels-photo-256381.jpeg?auto=compress&cs=tinysrgb&w=600,1,"Einstein Box Science Kit",1499,PROD-093,40,Adyar,2026-01-28 15:25:00
94,Toys,2026-01-24 14:40:00,"The original puzzle cube.",https://images.pexels.com/photos/19677/pexels-photo.jpg?auto=compress&cs=tinysrgb&w=600,1,"Rubik's Cube 3x3",499,PROD-094,120,Navalur,2026-01-30 10:55:00
95,Toys,2026-01-25 11:10:00,"Classic ring stacking toy for babies.",https://images.pexels.com/photos/3662667/pexels-photo-3662667.jpeg?auto=compress&cs=tinysrgb&w=600,1,"Fisher-Price Rock-a-Stack",449,PROD-095,85,Anna Nagar,2026-01-26 14:50:00
96,Beauty,2026-01-25 15:00:00,"Matte melt liquid lipstick long lasting.",https://images.pexels.com/photos/2533266/pexels-photo-2533266.jpeg?auto=compress&cs=tinysrgb&w=600,1,"Lakme Absolute Liquid Lipstick",650,PROD-096,90,T.Nagar,2026-01-29 16:30:00
97,Beauty,2026-01-26 12:20:00,"Face wash for clean and clear skin.",https://images.pexels.com/photos/3618606/pexels-photo-3618606.jpeg?auto=compress&cs=tinysrgb&w=600,1,"Nivea Men Face Wash Dark Spot Reduction",299,PROD-097,140,Velachery,2026-01-31 09:45:00
